<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
040121;00:00:00;212.7100000;216.6300000;211.6400000;212.7100000;55195430
050121;00:00:00;213.2000000;215.3800000;210.2200000;215.3200000;48913740
060121;00:00:00;215.4800000;216.8000000;213.0700000;214.3800000;47897590
080121;00:00:00;217.1400000;226.2400000;217.0000000;225.4900000;100717800
110121;00:00:00;225.0500000;231.0000000;221.8100000;227.6000000;112506470
120121;00:00:00;229.0000000;231.4400000;225.6600000;228.6900000;64309460
130121;00:00:00;229.2900000;230.3500000;225.2000000;226.8000000;61102300
140121;00:00:00;226.4900000;229.5700000;223.2000000;228.8600000;60003270
150121;00:00:00;227.5000000;230.7000000;226.0000000;226.5000000;54765970
180121;00:00:00;225.5500000;228.5000000;221.3400000;226.8800000;69147920
190121;00:00:00;227.6600000;228.8500000;223.0000000;223.1500000;66619900
200121;00:00:00;223.0000000;225.7800000;221.5500000;224.3000000;51248650
210121;00:00:00;224.4000000;224.9600000;217.2200000;217.2800000;76701270
220121;00:00:00;216.4500000;216.5000000;210.5000000;215.4900000;94721320
250121;00:00:00;216.9000000;219.6600000;214.5300000;218.6800000;74456540
260121;00:00:00;216.8000000;220.2900000;215.7100000;218.8000000;45114650
270121;00:00:00;219.4900000;222.0000000;216.4400000;217.4000000;59271760
280121;00:00:00;215.9100000;219.4900000;214.2600000;217.7000000;52341000
290121;00:00:00;216.7500000;216.7500000;212.4700000;212.8300000;66744580
010221;00:00:00;214.6100000;214.8700000;212.2400000;214.6600000;39314420
020221;00:00:00;215.5000000;219.7400000;213.2500000;214.4200000;77924880
030221;00:00:00;215.4100000;218.4200000;213.7900000;218.1000000;45974890
040221;00:00:00;218.7100000;221.4000000;216.8800000;219.7900000;47881150
050221;00:00:00;220.6800000;222.2100000;219.0000000;222.0100000;42127830
080221;00:00:00;223.0600000;228.0000000;223.0000000;228.0000000;67144040
090221;00:00:00;229.0000000;229.4900000;225.8000000;227.7300000;60518190
100221;00:00:00;227.9800000;228.2900000;221.8000000;223.2400000;41883700
110221;00:00:00;223.4500000;223.6700000;220.7300000;221.3500000;34480880
120221;00:00:00;220.7800000;227.4700000;216.7700000;226.7100000;69179250
150221;00:00:00;228.4900000;230.0000000;226.7000000;229.2200000;59793600
160221;00:00:00;229.9500000;233.2200000;227.5700000;232.4600000;85667580
170221;00:00:00;232.3200000;233.3500000;225.3300000;229.1400000;64532970
180221;00:00:00;228.9800000;228.9800000;224.0100000;224.4700000;43762150
190221;00:00:00;224.0200000;226.2600000;221.1000000;226.0000000;44854360
200221;00:00:00;226.3500000;227.1000000;225.0000000;225.8400000;6053880
220221;00:00:00;226.4900000;227.3000000;223.0400000;225.6300000;31412770
240221;00:00:00;224.4200000;225.6400000;220.8500000;222.5500000;40792480
