<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
04.01.2021;0:00:00;435.8500000;442.6000000;433.0000000;436.0000000;6387860
05.01.2021;0:00:00;436.0500000;450.7000000;433.3000000;449.3500000;6724540
06.01.2021;0:00:00;449.4500000;454.6500000;443.7000000;453.7000000;8220600
08.01.2021;0:00:00;465.2000000;481.0000000;463.8000000;478.2000000;12695070
11.01.2021;0:00:00;474.5500000;480.1000000;464.0000000;473.2500000;8789190
12.01.2021;0:00:00;475.0000000;479.2000000;466.2500000;474.4000000;7081940
13.01.2021;0:00:00;477.0000000;493.9500000;476.2500000;485.9500000;15288640
14.01.2021;0:00:00;485.7500000;505.6500000;484.0500000;505.0000000;15394440
15.01.2021;0:00:00;502.9000000;519.6500000;498.2000000;512.2000000;17888660
18.01.2021;0:00:00;509.8000000;519.0000000;505.2500000;516.5000000;10712490
19.01.2021;0:00:00;518.8000000;524.8000000;506.6500000;510.7000000;12517910
20.01.2021;0:00:00;510.9000000;514.7000000;507.5500000;510.6500000;4873080
21.01.2021;0:00:00;509.3500000;512.7000000;495.6500000;498.0000000;9246850
22.01.2021;0:00:00;494.8000000;495.0000000;485.0000000;494.2500000;8705980
25.01.2021;0:00:00;494.3500000;502.8000000;485.4000000;495.6000000;7532280
26.01.2021;0:00:00;493.1000000;498.2500000;488.1000000;493.9500000;4496630
27.01.2021;0:00:00;495.1000000;497.9000000;480.5500000;481.2500000;9576050
28.01.2021;0:00:00;479.8000000;485.6500000;475.0000000;483.4000000;6058190
29.01.2021;0:00:00;480.5500000;482.4500000;472.0000000;473.0000000;5551670
01.02.2021;0:00:00;475.2000000;478.9000000;469.5000000;478.3500000;6888020
02.02.2021;0:00:00;481.1500000;488.8000000;479.0000000;482.0000000;10407770
03.02.2021;0:00:00;487.6500000;494.2000000;482.1500000;489.9500000;7491510
04.02.2021;0:00:00;490.4000000;497.0500000;484.2000000;489.2000000;7943360
05.02.2021;0:00:00;492.4500000;496.7500000;490.3500000;493.9500000;7633720
08.02.2021;0:00:00;496.0500000;503.2500000;496.0500000;501.7500000;7730520
09.02.2021;0:00:00;503.8000000;505.0000000;492.4000000;494.8000000;6755720
10.02.2021;0:00:00;497.4500000;498.2500000;489.3500000;491.4500000;5608620
11.02.2021;0:00:00;490.3500000;501.7000000;488.1500000;496.8000000;6677070
12.02.2021;0:00:00;496.8000000;509.3500000;488.6000000;509.3500000;11944760
15.02.2021;0:00:00;513.0000000;522.4500000;508.2000000;521.4500000;8808290
16.02.2021;0:00:00;522.5000000;529.4000000;520.5000000;525.6000000;8703560
17.02.2021;0:00:00;524.9000000;528.1500000;505.7000000;515.1500000;11446210
18.02.2021;0:00:00;514.1500000;517.6500000;505.5000000;506.8500000;9681490
19.02.2021;0:00:00;505.8000000;515.1500000;504.0000000;512.7500000;7455920
20.02.2021;0:00:00;512.5000000;514.0000000;509.0500000;513.1500000;909640
22.02.2021;0:00:00;514.0500000;518.9000000;509.1000000;516.0000000;4532080
24.02.2021;0:00:00;511.7500000;518.7000000;511.1500000;518.2500000;6755490
25.02.2021;0:00:00;519.4500000;536.3500000;517.9500000;529.3500000;13381440
26.02.2021;0:00:00;525.7000000;533.2000000;520.4500000;523.3500000;10083590
01.03.2021;0:00:00;527.5500000;530.0000000;521.4500000;524.1000000;4862650
02.03.2021;0:00:00;519.5500000;529.8500000;518.8500000;526.0000000;4799200
03.03.2021;0:00:00;528.8500000;536.4500000;527.6000000;533.8000000;5959660
04.03.2021;0:00:00;535.2000000;549.7000000;533.2000000;540.1000000;12456910
05.03.2021;0:00:00;543.0000000;561.9500000;541.5500000;561.0000000;13674760
09.03.2021;0:00:00;558.9500000;581.4500000;556.0000000;570.6000000;14348590
10.03.2021;0:00:00;568.5500000;573.5000000;557.0000000;561.1500000;9579490
11.03.2021;0:00:00;563.1500000;572.0000000;563.1000000;572.0000000;9568100
12.03.2021;0:00:00;572.7500000;574.7000000;566.4000000;572.2500000;5931120
15.03.2021;0:00:00;573.2000000;580.7500000;572.0000000;576.4000000;9924110
16.03.2021;0:00:00;574.6500000;577.9500000;559.3000000;571.2000000;17699060
17.03.2021;0:00:00;571.2000000;574.1000000;551.2500000;555.8500000;15227090
18.03.2021;0:00:00;556.2000000;559.5000000;541.0000000;544.0500000;12354360
19.03.2021;0:00:00;542.8000000;560.9500000;541.6000000;560.3000000;9317510
22.03.2021;0:00:00;558.3500000;566.9000000;555.5500000;562.6500000;7502970
23.03.2021;0:00:00;560.3000000;573.4500000;556.5500000;565.1000000;8302870
24.03.2021;0:00:00;566.9500000;577.0000000;564.2500000;568.0500000;7805500
25.03.2021;0:00:00;568.6000000;574.7000000;566.4500000;574.6500000;6834050
26.03.2021;0:00:00;576.0500000;585.1500000;575.8500000;582.2000000;10211450
29.03.2021;0:00:00;579.5000000;584.2500000;572.0000000;575.3000000;8310250
30.03.2021;0:00:00;576.3000000;579.2000000;565.3000000;570.2500000;6151980
31.03.2021;0:00:00;571.0000000;574.9500000;567.1000000;572.6000000;9089920
01.04.2021;0:00:00;574.1000000;576.7500000;561.4000000;568.9000000;11593270
02.04.2021;0:00:00;568.9000000;569.9000000;565.6000000;566.6500000;1029300
05.04.2021;0:00:00;567.1000000;567.7500000;557.2500000;560.1500000;3133260
06.04.2021;0:00:00;562.3000000;563.1500000;545.4500000;547.5500000;5960860
07.04.2021;0:00:00;547.5000000;555.5500000;543.2500000;551.5000000;6156110
08.04.2021;0:00:00;549.9000000;554.8000000;545.1500000;549.3000000;4636060
09.04.2021;0:00:00;547.6500000;548.7000000;536.0500000;538.0000000;6256000
12.04.2021;0:00:00;535.2000000;541.3500000;532.5000000;540.1500000;6139660
13.04.2021;0:00:00;541.3000000;552.2500000;534.5500000;551.9500000;4892780
14.04.2021;0:00:00;556.0500000;556.1000000;546.2500000;552.1000000;5658280
15.04.2021;0:00:00;548.6000000;562.6000000;545.4000000;556.5000000;6284300
16.04.2021;0:00:00;560.0500000;561.4000000;549.2000000;555.0500000;4001960
19.04.2021;0:00:00;552.0500000;554.7000000;546.0500000;548.0500000;3363600
20.04.2021;0:00:00;549.9000000;553.9000000;537.5000000;541.0500000;5466560
21.04.2021;0:00:00;540.8000000;547.3500000;538.6500000;545.7000000;2814680
22.04.2021;0:00:00;546.2500000;546.9000000;536.6000000;541.6000000;5871040
23.04.2021;0:00:00;543.0000000;544.8000000;533.9500000;538.5000000;5056970
26.04.2021;0:00:00;537.8500000;537.8500000;527.5000000;530.6000000;5746610
27.04.2021;0:00:00;531.0500000;533.7000000;524.5000000;528.0000000;4247670
28.04.2021;0:00:00;529.0000000;529.7500000;522.1000000;527.9500000;4575220
29.04.2021;0:00:00;530.0000000;536.1000000;526.0500000;528.7500000;6331160
30.04.2021;0:00:00;527.6500000;529.7000000;521.5500000;525.2000000;5133150
04.05.2021;0:00:00;526.7000000;538.1500000;526.3000000;537.1500000;5102830
05.05.2021;0:00:00;540.0000000;546.8000000;537.0500000;538.6500000;6084410
06.05.2021;0:00:00;540.6000000;542.8000000;534.2000000;538.5500000;4533640
07.05.2021;0:00:00;540.0000000;541.6500000;533.2500000;536.2000000;3166660
10.05.2021;0:00:00;537.2000000;547.5000000;533.5500000;541.9500000;5096230
11.05.2021;0:00:00;539.9000000;541.6000000;528.6000000;532.0000000;5230870
12.05.2021;0:00:00;532.8000000;551.3000000;529.8500000;542.2000000;8515340
13.05.2021;0:00:00;541.0000000;552.0000000;539.5000000;550.0000000;6446300
