<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
040121;00:00:00;319.0500000;324.2000000;318.3500000;322.7500000;1336920
050121;00:00:00;322.0000000;324.3000000;319.5000000;323.9000000;871870
060121;00:00:00;326.0500000;329.6000000;324.5000000;326.7000000;2252750
080121;00:00:00;329.2500000;337.0000000;328.1500000;337.0000000;3120920
110121;00:00:00;335.0500000;339.1500000;330.8500000;334.3000000;2440180
120121;00:00:00;337.0000000;338.5000000;332.5000000;334.3000000;1661440
130121;00:00:00;336.1000000;338.5000000;332.7000000;333.7500000;1540860
140121;00:00:00;333.8000000;345.5500000;331.7000000;342.1000000;3478220
150121;00:00:00;342.5000000;349.9000000;339.7000000;341.3500000;3069390
180121;00:00:00;339.5000000;341.8500000;334.3000000;339.8000000;1264970
190121;00:00:00;341.9500000;343.7500000;336.7500000;337.3000000;1103400
200121;00:00:00;338.3000000;340.9000000;337.2000000;338.7000000;852270
210121;00:00:00;339.2000000;339.8000000;329.2000000;332.3000000;1998540
220121;00:00:00;332.2000000;332.2000000;321.8500000;323.5000000;2152070
250121;00:00:00;324.5000000;327.4500000;322.2000000;325.2000000;1087440
260121;00:00:00;323.7500000;327.0500000;321.5000000;325.8500000;894580
270121;00:00:00;326.2000000;327.7000000;321.0000000;322.0000000;975040
280121;00:00:00;321.0000000;324.1000000;317.1000000;322.2000000;1067540
290121;00:00:00;321.0000000;321.6000000;314.7000000;315.7000000;1789280
010221;00:00:00;316.6500000;316.9500000;313.1500000;315.0000000;1027440
020221;00:00:00;318.1000000;322.2000000;316.7500000;320.7500000;1817210
030221;00:00:00;320.1000000;323.9000000;318.0000000;318.5000000;1263690
040221;00:00:00;320.6000000;326.9500000;318.6000000;325.8500000;1933860
050221;00:00:00;328.2000000;335.0500000;327.5500000;334.9500000;2992930
080221;00:00:00;337.4500000;343.1000000;336.2000000;343.1000000;2112590
090221;00:00:00;345.1000000;347.9000000;337.2500000;339.5000000;2369910
100221;00:00:00;339.9500000;342.3500000;332.9500000;333.0000000;1444740
110221;00:00:00;333.9500000;336.7000000;327.3000000;331.3000000;2022810
120221;00:00:00;330.8500000;339.0000000;326.3500000;339.0000000;2054400
150221;00:00:00;345.2000000;345.5000000;339.1000000;344.2000000;2296930
160221;00:00:00;344.8000000;347.7000000;341.6000000;346.6000000;2503550
170221;00:00:00;346.7000000;353.0000000;343.5000000;347.6500000;3309880
180221;00:00:00;350.1500000;351.9500000;338.1000000;338.1000000;2200780
190221;00:00:00;338.0000000;342.4000000;333.1000000;338.2000000;1561100
200221;00:00:00;339.3500000;342.2000000;335.9000000;340.0000000;397650
220221;00:00:00;340.7000000;343.5000000;336.4000000;340.3500000;953250
240221;00:00:00;338.9000000;346.0500000;338.6500000;344.0000000;1481790
250221;00:00:00;345.9500000;349.3500000;345.8500000;348.9500000;2152580
260221;00:00:00;343.5500000;345.1000000;338.5000000;339.0000000;1520490
010321;00:00:00;341.9500000;345.8000000;340.1500000;343.8000000;873930
020321;00:00:00;341.2000000;346.7000000;337.7000000;346.7000000;1759040
030321;00:00:00;348.4000000;349.6000000;341.2500000;343.9500000;1362870
040321;00:00:00;343.1500000;347.4000000;342.0500000;346.9000000;1114220
050321;00:00:00;346.8500000;362.0000000;346.5000000;359.3000000;4840160
090321;00:00:00;359.2000000;379.7000000;356.2000000;377.0000000;5064110
100321;00:00:00;374.8500000;381.4500000;366.1000000;372.4000000;2741690
110321;00:00:00;373.2000000;382.0000000;373.2000000;378.3500000;2325130
120321;00:00:00;378.9500000;386.9500000;374.5500000;381.5000000;2647190
150321;00:00:00;384.9000000;388.0000000;377.0500000;384.5000000;2558880
160321;00:00:00;381.9500000;383.7000000;378.0000000;382.8000000;1432300
170321;00:00:00;383.7500000;383.7500000;372.0500000;373.5000000;1651970
180321;00:00:00;374.2000000;378.3500000;366.5000000;369.3000000;2466950
190321;00:00:00;364.7000000;373.4500000;361.0000000;369.1500000;2008470
220321;00:00:00;370.3500000;374.9500000;368.4000000;372.2500000;1022600
230321;00:00:00;370.7000000;372.3500000;364.5500000;367.5000000;1511500
240321;00:00:00;366.5500000;370.7000000;364.2000000;370.4500000;1549000
250321;00:00:00;370.3500000;370.9000000;365.1500000;365.2000000;688560
260321;00:00:00;368.8500000;375.4500000;368.8500000;371.0000000;856370
290321;00:00:00;370.3000000;376.7000000;369.1000000;372.1500000;1109850
300321;00:00:00;373.5500000;377.5500000;371.6000000;377.2000000;1260400
310321;00:00:00;377.8500000;378.9000000;369.2500000;370.0000000;1986840
010421;00:00:00;372.0000000;374.8000000;368.1500000;368.1500000;1624290
020421;00:00:00;371.4500000;375.0500000;371.4000000;371.6500000;560830
050421;00:00:00;373.2000000;373.9500000;370.8500000;371.8500000;428130
060421;00:00:00;371.7500000;371.8500000;364.6000000;365.5500000;1642140
070421;00:00:00;362.2000000;367.3500000;358.5000000;362.5000000;2168660
080421;00:00:00;362.9500000;365.0000000;361.1500000;364.0000000;840960
090421;00:00:00;363.3000000;363.9500000;353.2000000;355.2000000;1847010
120421;00:00:00;354.8500000;357.5500000;349.0000000;357.0000000;1107510
130421;00:00:00;357.1500000;359.8000000;350.6000000;354.0500000;1219270
140421;00:00:00;358.2500000;361.0000000;356.0000000;359.0000000;2473840
150421;00:00:00;355.0000000;357.4000000;352.1500000;354.0000000;2440980
160421;00:00:00;356.0500000;359.8000000;355.1500000;358.0000000;1612630
190421;00:00:00;356.7000000;359.3000000;352.5000000;352.8500000;940060
200421;00:00:00;353.3500000;358.4500000;350.0000000;354.5000000;2173570
210421;00:00:00;353.3500000;364.6000000;352.7000000;361.5500000;1326690
220421;00:00:00;361.8000000;362.2000000;355.7500000;358.0000000;2031060
230421;00:00:00;357.9500000;368.2000000;355.5500000;364.4500000;3181070
260421;00:00:00;365.0500000;365.9500000;359.3000000;365.5000000;1192860
270421;00:00:00;366.9500000;367.2500000;360.0000000;363.0000000;1231020
280421;00:00:00;363.6000000;363.9500000;356.6000000;356.9000000;1301760
290421;00:00:00;360.0000000;365.8500000;357.5500000;363.2500000;1593710
300421;00:00:00;363.3500000;365.5000000;358.3500000;361.2000000;1153620
040521;00:00:00;362.1000000;368.7000000;361.2500000;365.0000000;788550
050521;00:00:00;367.1000000;370.0000000;366.7000000;368.6000000;1003440
060521;00:00:00;368.4500000;373.8000000;367.7000000;370.5000000;1096220
070521;00:00:00;371.5000000;374.7500000;371.1000000;374.2500000;720570
100521;00:00:00;375.0500000;376.0000000;371.8000000;373.0500000;727780
110521;00:00:00;372.3000000;372.3000000;365.3000000;367.2000000;1186260
120521;00:00:00;367.2000000;371.6500000;367.2000000;370.5000000;719830
130521;00:00:00;369.0500000;370.0000000;363.7000000;370.0000000;785210
140521;00:00:00;370.3500000;373.1000000;369.1000000;373.1000000;599600
170521;00:00:00;373.2500000;374.3500000;369.0000000;373.2000000;613010
180521;00:00:00;375.3500000;377.9500000;373.7500000;377.0000000;1126630
190521;00:00:00;377.9500000;379.5000000;366.1500000;366.3000000;1458270
200521;00:00:00;367.1000000;370.7000000;360.1000000;365.7000000;999100
210521;00:00:00;367.3000000;375.0000000;366.1000000;373.5000000;832260
240521;00:00:00;375.2000000;379.0000000;371.8000000;378.0000000;876690
250521;00:00:00;379.9000000;381.1500000;375.8500000;377.4500000;1283850
260521;00:00:00;379.1000000;382.5500000;378.0500000;382.5500000;1233040
270521;00:00:00;382.2000000;382.2500000;377.1500000;379.3500000;636530
280521;00:00:00;380.9000000;384.0000000;375.0000000;379.0500000;1188710
310521;00:00:00;381.8000000;383.8500000;379.0000000;383.3500000;549880
010621;00:00:00;383.6500000;393.9500000;383.6500000;393.0500000;1470540
020621;00:00:00;393.0500000;402.4500000;392.9000000;399.9000000;2295290
030621;00:00:00;402.0000000;407.0500000;396.2000000;406.6500000;1597090
040621;00:00:00;406.7000000;414.2000000;403.4000000;412.3000000;2332380
070621;00:00:00;411.6000000;423.4000000;407.1000000;415.0500000;1980470
080621;00:00:00;414.3500000;417.6500000;406.5500000;406.5500000;1282490
090621;00:00:00;411.0500000;412.1000000;408.5000000;409.0000000;892410
100621;00:00:00;409.9500000;411.5000000;407.2500000;410.2500000;931220
110621;00:00:00;410.2500000;411.0000000;408.0000000;410.0000000;666100
140621;00:00:00;411.4500000;416.3000000;410.0000000;415.0000000;581240
150621;00:00:00;416.0000000;421.9000000;413.0500000;416.1000000;1847640
160621;00:00:00;417.7500000;426.2500000;417.7000000;424.0000000;1559550
170621;00:00:00;423.5000000;428.2500000;421.0000000;425.7000000;1011080
180621;00:00:00;422.2500000;425.0000000;419.0500000;420.8000000;1363180
210621;00:00:00;421.5500000;428.2000000;420.5000000;422.3000000;999460
220621;00:00:00;427.5000000;435.7500000;425.1500000;435.7500000;1548010
230621;00:00:00;435.3500000;439.6000000;433.2000000;435.5000000;1588800
240621;00:00:00;428.0500000;431.6500000;425.8000000;430.6500000;1222620
250621;00:00:00;429.3500000;430.6000000;426.2000000;430.0500000;636670
280621;00:00:00;431.1000000;433.0000000;426.9000000;430.0000000;899970
290621;00:00:00;428.1500000;429.0000000;420.4000000;424.7500000;1379130
300621;00:00:00;425.7000000;437.0000000;418.9000000;434.0000000;2777780
010721;00:00:00;436.3500000;447.8500000;435.0000000;442.9000000;2326790
020721;00:00:00;442.0000000;450.8000000;439.3000000;447.1000000;2179240
050721;00:00:00;446.0000000;446.8500000;441.6000000;443.9000000;1098890
060721;00:00:00;445.9000000;450.9500000;443.2500000;449.9000000;1142040
070721;00:00:00;449.3000000;451.8000000;446.1500000;450.0000000;843480
080721;00:00:00;448.5000000;449.5000000;438.9000000;440.0500000;1215540
090721;00:00:00;440.6000000;442.4500000;437.1000000;440.0000000;984370
120721;00:00:00;438.9500000;441.1000000;435.0500000;435.0500000;1179900
130721;00:00:00;435.1000000;436.1000000;433.5500000;436.0000000;771060
140721;00:00:00;436.5500000;441.0000000;432.1000000;439.5000000;1138040
150721;00:00:00;439.6000000;439.6000000;432.2500000;433.9000000;543460
